Cem,W/B,FA,CA,RCA,SCM,SP,NF,FT,Length,Age,CS
380,0.4,950,650,50,0,8,1,Kenaf,25,7,31.37
380,0.4,950,650,50,0,8,1,Kenaf,25,28,44.18
380,0.35,950,650,50,0,8,0,x,0,7,36.36
380,0.35,950,650,50,0,8,0,x,0,28,48.45
375,0.57,815,995,0,0,0,0,x,0,28,25.1
375,0.57,815,995,25,0,0,0,x,0,28,24.5
375,0.57,815,995,50,0,0,0,x,0,28,23.6
375,0.57,815,995,75,0,0,0,x,0,28,22.6
375,0.57,815,995,100,0,0,0,x,0,28,21
375,0.5,815,995,0,0,0,0,x,0,28,29.7
375,0.5,815,995,25,0,0,0,x,0,28,29
375,0.5,815,995,50,0,0,0,x,0,28,28
375,0.5,815,995,75,0,0,0,x,0,28,27
375,0.5,815,995,100,0,0,0,x,0,28,25.7
375,0.43,815,995,0,0,0,0,x,0,28,35
375,0.43,815,995,25,0,0,0,x,0,28,34.5
375,0.43,815,995,50,0,0,0,x,0,28,33.2
375,0.43,815,995,75,0,0,0,x,0,28,32.5
375,0.43,815,995,100,0,0,0,x,0,28,31
375,0.51,815,995,0,0,0,0,x,0,28,42.5
315,0.6,885,980,0,0,0,0,x,0,28,40.5
260,0.73,1000,925,0,0,0,0,x,0,28,39
410,0.5,835,870,100,0,0,0,x,0,28,37.5
340,0.6,960,820,100,0,0,0,x,0,28,29.5
275,0.75,1065,785,100,0,0,0,x,0,28,28.5
350,0.5,752,1065,0,0,1.05,0,x,0,28,35.4
350,0.5,752,1065,100,0,1.05,0,x,0,28,26.8
280,0.5,752,1065,100,70,0.84,0,x,0,28,24.7
280,0.5,752,1065,100,70,0.84,0,x,0,28,36.3
280,0.5,752,1065,100,70,0.84,0,x,0,28,32.9
428.889,0.485743397,725.4,972.93,0,0,0,0,x,0,28,53.55957
428.89,0.561309427,747.46,831.61,100,0,0,0,x,0,28,36.84231
407.45,0.590501902,739.39,831.61,100,5,0,0,x,0,28,41.243
386,0.623056995,734.12,831.61,100,10,0,0,x,0,28,36.84231
364.56,0.659315339,725.95,831.61,100,15,0,0,x,0,28,36.65447
428.89,0.561635851,747.46,831.61,100,5,0,0,x,0,28,41.43084
428.89,0.561845695,747.46,831.61,100,10,0,0,x,0,28,45.10702
428.89,0.562172119,747.46,831.61,100,15,0,0,x,0,28,44.00685
407.44,0.590516395,739.39,831.61,100,5,0,0,x,0,28,44.19469
386,0.622953368,731.32,831.61,100,10,0,0,x,0,28,40.5185
364.56,0.659205618,723.26,831.61,100,15,0,0,x,0,28,40.33066
428.89,0.561659167,747.46,831.61,100,5,0,0,x,0,28,42.34317
428.89,0.561962275,747.46,831.61,100,10,0,0,x,0,28,48.97105
428.89,0.562288699,747.46,831.61,100,15,0,0,x,0,28,43.09451
430,0.43,555,1295,0,0,0,0,x,0,28,35.9
430,0.43,534,1295,30,0,0,0,x,0,28,34.1
430,0.43,522,1295,50,0,0,0,x,0,28,29.6
430,0.43,510,1295,70,0,0,0,x,0,28,30.3
430,0.43,492,1295,100,0,0,0,x,0,28,26.7
400,0.52,662,1014,0,0,0,0,x,0,7,33.3
400,0.52,662,1016,15,0,0,0,x,0,7,33.9
400,0.52,662,995,30,0,0,0,x,0,7,34.8
400,0.52,662,956,60,0,0,0,x,0,7,30.6
400,0.52,662,903,100,0,0,0,x,0,7,30.7
400,0.52,662,1014,0,0,0,0,x,0,28,39
400,0.52,662,1016,15,0,0,0,x,0,28,38.1
400,0.52,662,995,30,0,0,0,x,0,28,37
400,0.52,662,956,60,0,0,0,x,0,28,35.8
400,0.52,662,903,100,0,0,0,x,0,28,34.5
400,0.52,662,1014,0,0,0,0,x,0,90,42.1
400,0.52,662,1016,15,0,0,0,x,0,90,41.6
400,0.52,662,995,30,0,0,0,x,0,90,39.5
400,0.52,662,956,60,0,0,0,x,0,90,38.3
400,0.52,662,903,100,0,0,0,x,0,90,37.5
400,0.52,662,1014,0,0,0,0,x,0,180,47
400,0.52,662,1016,15,0,0,0,x,0,180,46.6
400,0.52,662,995,30,0,0,0,x,0,180,44.1
400,0.52,662,956,60,0,0,0,x,0,180,44.1
400,0.52,662,903,100,0,0,0,x,0,180,43
380,0.44,784,1025,0,0,2.69,0,x,0,7,35.2
380,0.44,784,1025,0,0,2.69,0,x,0,28,38.4
380,0.44,784,1025,0,0,2.69,0,x,0,172,45.1
380,0.44,784,1025,0,0,2.69,0,x,0,193,45.4
380,0.44,784,1025,0,0,2.69,0,x,0,255,47
380,0.44,784,1025,0,0,2.69,0,x,0,345,48.4
300,0.4,763,1366,0,0,0,0,x,0,28,35.7665
300,0.4,763,1315,25,0,0,0,x,0,28,33.67522
300,0.4,763,1253,50,0,0,0,x,0,28,32.40944
300,0.4,763,1150,100,0,0,0,x,0,28,29.7238
350,0.4,728,1304,0,0,0,0,x,0,28,40.99469
350,0.4,728,1258,25,0,0,0,x,0,28,38.82637
350,0.4,728,1202,50,0,0,0,x,0,28,36.36086
350,0.4,728,1090,100,0,0,0,x,0,28,35.17213
450,0.4,658,1179,0,0,0,0,x,0,28,52.78291
450,0.4,658,1134,25,0,0,0,x,0,28,50.24035
450,0.4,658,1089,50,0,0,0,x,0,28,46.96035
450,0.4,658,990,100,0,0,0,x,0,28,44.49484
300,0.45,748,1340,0,0,0,0,x,0,28,35.30508
300,0.45,748,1285,25,0,0,0,x,0,28,33.42537
300,0.45,748,1230,50,0,0,0,x,0,28,32.14759
300,0.45,748,1120,100,0,0,0,x,0,28,29.60258
350,0.45,711,1273,0,0,0,0,x,0,28,41.01814
350,0.45,711,1225,25,0,0,0,x,0,28,38.89554
350,0.45,711,1177,50,0,0,0,x,0,28,36.21326
350,0.45,711,1070,100,0,0,0,x,0,28,34.99884
450,0.45,636,1140,0,0,0,0,x,0,28,47.02688
450,0.45,636,1095,25,0,0,0,x,0,28,44.96765
450,0.45,636,1050,50,0,0,0,x,0,28,42.23256
450,0.45,636,960,100,0,0,0,x,0,28,40.22612
300,0.5,734,1314,0,0,0,0,x,0,28,34.72386
300,0.5,734,1265,25,0,0,0,x,0,28,33.30738
300,0.5,734,1207,50,0,0,0,x,0,28,32.21042
300,0.5,734,1100,100,0,0,0,x,0,28,29.20707
350,0.5,694,1243,0,0,0,0,x,0,28,39.68683
350,0.5,694,1192,25,0,0,0,x,0,28,37.6633
350,0.5,694,1141,50,0,0,0,x,0,28,35.70367
350,0.5,694,1040,100,0,0,0,x,0,28,33.98899
450,0.5,614,1100,0,0,0,0,x,0,28,41.45476
450,0.5,614,1055,25,0,0,0,x,0,28,39.55903
450,0.5,614,1010,50,0,0,0,x,0,28,37.22664
450,0.5,614,920,100,0,0,0,x,0,28,35.88472
394,0.47,732.84,988.94,0,0,0,0,x,0,7,24.47
394,0.47,732.84,988.94,0,0,0,0.5,bamboo,60,7,24.66
394,0.47,732.84,988.94,0,0,0,1,bamboo,60,7,24.91
394,0.47,732.84,988.94,0,0,0,1.5,bamboo,60,7,25
394,0.47,732.84,988.94,0,0,0,2,bamboo,60,7,25.06
394,0.47,732.84,988.94,0,0,0,2.5,bamboo,60,7,24.7
394,0.47,732.84,988.94,0,0,0,0,x,0,14,30.25
394,0.47,732.84,988.94,0,0,0,0.5,bamboo,60,14,30.34
394,0.47,732.84,988.94,0,0,0,1,bamboo,60,14,30.51
394,0.47,732.84,988.94,0,0,0,1.5,bamboo,60,14,30.67
394,0.47,732.84,988.94,0,0,0,2,bamboo,60,14,30.79
394,0.47,732.84,988.94,0,0,0,2.5,bamboo,60,14,30.41
394,0.47,732.84,988.94,0,0,0,0,x,0,28,36.23
394,0.47,732.84,988.94,0,0,0,0.5,bamboo,60,28,36.54
394,0.47,732.84,988.94,0,0,0,1,bamboo,60,28,36.73
394,0.47,732.84,988.94,0,0,0,1.5,bamboo,60,28,36.87
394,0.47,732.84,988.94,0,0,0,2,bamboo,60,28,36.95
394,0.47,732.84,988.94,0,0,0,2.5,bamboo,60,28,36.36
417.15,0.45,952,653.54,0,0,4.17,0,x,0,7,15.29182
417.15,0.45,952,653.54,0,0,4.17,0,x,0,7,17.32238
417.15,0.45,952,653.54,0,0,4.17,0.25,bamboo,50,7,16.54139
417.15,0.45,952,653.54,0,0,4.17,0.5,bamboo,50,7,17.63477
417.15,0.45,952,653.54,0,0,4.17,0.75,bamboo,50,7,18.375
417.15,0.45,952,653.54,0,0,4.17,1,bamboo,50,7,14.70778
417.15,0.45,952,653.54,0,0,4.17,0,x,0,14,17.94716
417.15,0.45,952,653.54,0,0,4.17,0,x,0,14,20.56176
417.15,0.45,952,653.54,0,0,4.17,0.25,bamboo,50,14,19.54987
417.15,0.45,952,653.54,0,0,4.17,0.5,bamboo,50,14,19.97772
417.15,0.45,952,653.54,0,0,4.17,0.75,bamboo,50,14,21.03034
417.15,0.45,952,653.54,0,0,4.17,1,bamboo,50,14,18.76889
417.15,0.45,952,653.54,0,0,4.17,0,x,0,28,23.92338
417.15,0.45,952,653.54,0,0,4.17,0,x,0,28,26.80961
417.15,0.45,952,653.54,0,0,4.17,0.25,bamboo,50,28,25.1322
417.15,0.45,952,653.54,0,0,4.17,0.5,bamboo,50,28,26.49722
417.15,0.45,952,653.54,0,0,4.17,0.75,bamboo,50,28,27.98448
417.15,0.45,952,653.54,0,0,4.17,1,bamboo,50,28,24.93526
380,0.47,730,1400,0,0,1.9,0,x,0,7,28.49
380,0.47,730,1400,0,0,1.9,0.5,sisal,30,7,25.11
380,0.47,730,1400,0,0,1.9,1,sisal,30,7,24.32
380,0.47,730,1400,0,0,1.9,1.5,sisal,30,7,23.68
380,0.47,730,1400,0,0,1.9,2,sisal,30,7,21.68
380,0.47,730,1400,0,0,1.9,0,x,0,28,36.37
380,0.47,730,1400,0,0,1.9,0.5,sisal,30,28,35.62
380,0.47,730,1400,0,0,1.9,1,sisal,30,28,33.55
380,0.47,730,1400,0,0,1.9,1.5,sisal,30,28,31
380,0.47,730,1400,0,0,1.9,2,sisal,30,28,30.42
400,0.45,693,1377,0,0,0,0,x,45,7,13.36518
400,0.45,693,1377,0,0,0,0.5,sisal,45,7,9.60362
400,0.45,693,1377,0,0,0,1,sisal,45,7,9.5413
400,0.45,693,1377,0,0,0,1.5,sisal,45,7,8.28934
400,0.45,693,1377,0,0,0,2,sisal,45,7,8.28934
400,0.45,693,1377,0,0,0,0,x,0,28,20.68061
400,0.45,693,1377,0,0,0,0.5,sisal,45,28,18.25165
400,0.45,693,1377,0,0,0,1,sisal,45,28,16.28334
400,0.45,693,1377,0,0,0,1.5,sisal,45,28,19.41378
